Judul Artikel,Penulis,Jurnal,Tahun,Akreditasi,Isu_Utama,Argumentasi_Kunci,Relevansi,Klaster
Tindak Lanjut Putusan Mahkamah Konstitusi yang Bersifat Konstitusional Bersyarat Serta Memuat Norma Baru,Tidak disebutkan spesifik,Jurnal Konstitusi,2016,Jurnal Mahkamah Konstitusi RI (Terindeks),"Implementasi putusan MK yang bersifat konstitusional bersyarat dan konstitusional tidak bersyarat, serta putusan yang memuat norma baru","Putusan MK dengan sifat konstitusional bersyarat memerlukan interpretasi dan implementasi yang hati-hati oleh lembaga negara. Penelitian menemukan bahwa pilihan bentuk hukum dalam mengimplementasikan tiga varian putusan MK sangat beragam, dengan masih adanya inkoherensi dengan putusan MK.","Artikel ini secara langsung membahas mekanisme konstitusional bersyarat dan implikasinya terhadap peraturan pelaksana, yang relevan untuk menganalisis bagaimana putusan MK 168/2023 mengubah kekuatan mengikat PP 35/2021.",A: Konstitusionalitas & Hierarki Norma
Measuring the Executorial Power of the Constitutional Court of the Republic Indonesia Decisions,Tidak disebutkan spesifik,Al-Daulah: Jurnal Hukum dan Ilmu Politik,2023,UIN Sunan Ampel Surabaya (Terindeks),Kekuatan mengikat putusan MK dan implikasi yuridis normalisasi norma yang dinyatakan inkonstitusional,"Putusan MK secara normatif bersifat final dan mengikat, namun dalam realitas, beberapa putusan MK tidak diikuti oleh pembentuk undang-undang, sehingga memberikan kesan bahwa putusan MK tidak memiliki sifat eksekutoris. Model normalisasi norma yang dinyatakan inkonstitusional tidak memiliki kekuatan mengikat secara hukum, dan pembatalan norma hukum harus dilaksanakan.","Artikel ini menganalisis gap antara binding force putusan MK secara normatif dengan implementasinya, yang krusial untuk memahami implikasi yuridis putusan MK 168/2023 terhadap perubahan PP 35/2021.",A: Konstitusionalitas & Hierarki Norma
Legal Certainty In The Implementation of Judicial Review Decisions By The Constitutional Court In Indonesia,"Bun Joi Phiau, Amzulian Rifai, Abdul Latif",Asian Journal of Social and Humanities,2025,Scopus/Internasional,Implementasi putusan MK dalam konteks prinsip erga omnes dan kepastian hukum,"Meskipun putusan MK bersifat final dan mengikat (erga omnes), implementasinya masih menghadapi hambatan dari lembaga legislatif dan eksekutif. Penelitian merekomendasikan mekanisme monitoring dan sanksi yang lebih kuat untuk memastikan kepatuhan terhadap putusan MK.","Artikel ini menganalisis implementasi prinsip erga omnes dalam putusan MK, yang penting untuk memahami bagaimana putusan MK 168/2023 seharusnya mengikat implementasi PP 35/2021 di lapangan.",A: Konstitusionalitas & Hierarki Norma
The Authority of the Constitutional Court in Establishing New Norm Post-Amendment of the Indonesian Constitution,"Adensi Timomor, Patrisia Lembong, Theodorus Pangalila",Jurnal Edukasi Profesi,2024,Universitas Negeri Manado (Terindeks),Kewenangan MK sebagai negative legislator vs positive legislator dalam membentuk norma baru,"MK secara normatif terbatas menjadi negative legislator (pembatalan norma), namun dalam praktik sering merumuskan norma baru untuk menggantikan ketentuan yang inkonstitusional. Hal ini terjadi ketika ada kekosongan hukum, konflik peraturan, atau interpretasi yang beragam.","Artikel ini relevan untuk membedah peran MK dalam putusan 168/2023 apakah telah melampaui wewenang sebagai negative legislator, khususnya terkait penetapan batas maksimal 5 tahun PKWT.",A: Konstitusionalitas & Hierarki Norma
Examining the Role of Indonesia's Constitutional Court as a Positive Legislator,M Fikriya,Rechtsidee,2024,UMSIDA (Terindeks),Peran kontroversial MK sebagai positive legislator dalam keputusan 90/PUU-XXI/2023,"Putusan MK 90/2023 menunjukkan bahwa MK telah melampaui peran tradisionalnya sebagai negative legislator dengan menciptakan norma baru, yang menciptakan potensi konflik dengan fungsi legislatif. Penelitian menganalisis dinamika hukum dan implikasi terhadap demokrasi substantif.","Artikel ini menganalisis perdebatan tentang peran MK sebagai positive vs negative legislator, yang relevan untuk mengkritisi apakah putusan MK 168/2023 telah melebihi wewenangnya dalam merumuskan batasan 5 tahun PKWT.",A: Konstitusionalitas & Hierarki Norma
Is Conditionally Constitutional Doctrine Constitutional,Tidak disebutkan spesifik,Indonesian Law Review,2017,Universitas Indonesia (Terindeks),Konstitusionalitas doktrin konstitusional bersyarat dalam sistem hukum Indonesia,Doktrin konstitusional bersyarat memungkinkan MK untuk mendeklarasikan ketentuan UU sebagai konstitusional jika dibaca dengan cara tertentu. Pendekatan pragmatis diperlukan dalam menangani eksistensi doktrin ini dan mengidentifikasi aspek-aspek yang perlu ditingkatkan dalam penggunaan doktrin tersebut.,"Artikel ini membahas konsep konstitusional bersyarat secara kritis, yang penting untuk menganalisis bagaimana putusan MK 168/2023 menggunakan mekanisme ini terhadap PP 35/2021.",A: Konstitusionalitas & Hierarki Norma
"Specific Time Work Agreement (PKWT) After the Constitutional Court Ruling No. 168/PUU.XXI/2023, Is It Still Relevant?",Tidak disebutkan spesifik,JISS (Journal of Islamic Studies & Society),2025,Terindeks,Relevansi PKWT pasca Putusan MK 168/2023 dalam konteks tantangan ekonomi global,"Putusan MK 168/2023 memiliki dampak signifikan terhadap dunia ketenagakerjaan dan bisnis Indonesia, di mana pembatasan PKWT maksimal 5 tahun dirancang untuk melindungi hak-hak pekerja, namun menciptakan tantangan implementasi di tengah tekanan ekonomi global.","Artikel ini secara langsung menganalisis implikasi praktis putusan MK 168/2023 terhadap PKWT, sehingga sangat relevan untuk memahami harmonisasi teknis antara putusan MK dan praktik PKWT di lapangan.",B: Ketenagakerjaan & PKWT
The Problematics of Regulating the Maximum Duration of Fixed-Term Employment Agreements Based on the Completion of Specific Work,Tidak disebutkan spesifik,Jurnal Polri,2024,Terindeks,Problematika pengaturan batas durasi maksimal PKWT berdasarkan penyelesaian pekerjaan tertentu,"Putusan MK 168/2023 menetapkan maksimal PKWT 5 tahun termasuk perpanjangan, namun terdapat problematika dalam implementasinya terutama untuk PKWT berdasarkan penyelesaian pekerjaan tertentu yang jumlahnya tidak tertentu. Penelitian menunjukkan perlunya revisi peraturan dan pembentukan hukum terpisah dari UU Cipta Kerja.","Artikel ini menganalisis problematika teknis implementasi putusan MK 168/2023, khususnya terkait disharmoni antara PKWT berbasis jangka waktu dan berbasis penyelesaian pekerjaan tertentu, yang penting untuk analisis harmonisasi hukum.",B: Ketenagakerjaan & PKWT
Dinamika Konstitusionalitas Undang-Undang Cipta Kerja Pasca Putusan Mahkamah Konstitusi Nomor 91/PUU-XVIII/2020 dan 54/PUU-XXI/2023,Tidak disebutkan spesifik,Jurnal Universitas Syiah Kuala,2023,Universitas Syiah Kuala (Terindeks),Dinamika konstitusionalitas UU Cipta Kerja pasca putusan MK 91/2020 dan 54/2023,"Putusan MK 91/2020 menyatakan UU Cipta Kerja bersifat inkonstitusional bersyarat, kemudian direspons dengan issuance Perppu No. 2/2022 yang menjadi UU 6/2023. Putusan MK 54/2023 menyatakan Perppu sesuai dengan UUD 1945. Meskipun putusan MK final dan mengikat, masih terdapat kekhawatiran terhadap keadilan substantif.","Artikel ini menganalisis dinamika konstitusionalitas UU Cipta Kerja dalam dua putusan MK, yang memberikan konteks penting untuk memahami putusan MK 168/2023 sebagai koreksi terhadap PP 35/2021.",B: Ketenagakerjaan & PKWT
Konsep Pengaturan Perjanjian Kerja Waktu Tertentu (PKWT) Berdasarkan Prinsip Keadilan Proporsional,H Triasmono,Legal Standing: Jurnal Ilmu Hukum,2025,UNIPDU Jombang (Terindeks),Pengaturan PKWT berdasarkan prinsip keadilan proporsional antara hak pekerja dan pengusaha,"Perubahan regulasi PKWT melalui UU Cipta Kerja, khususnya penghapusan batas durasi maksimal untuk perpanjangan, telah menciptakan ketidakpastian hukum bagi pekerja dan membuka peluang penyalahgunaan oleh pengusaha. Diperlukan pengaturan ulang yang memprioritaskan prinsip keadilan proporsional, yang merefleksikan keseimbangan antara fleksibilitas bisnis dan perlindungan pekerja.","Artikel ini menganalisis implikasi keadilan proporsional dari perubahan PKWT pasca putusan MK 168/2023, relevan untuk menjawab bagaimana batasan 5 tahun dapat mengharmonisasi kepentingan kedua belah pihak.",B: Ketenagakerjaan & PKWT
